State,License Number,License Type,Company Name,DBA,License Status,Address 1,Address 2,City,Zip Code,Issue Date,Effective Date,Expire Date,License Term,License Type 2,Owner/Contact,Structure,Email,Phone,Website,,,,,,,,,
AK,10008,Retail Marijuana Store,CALEB L SAUNDERS; CHRISTOPHER T FARRIS; BAILEY A STUART,,Active-Operating,4901 E Blue Lupine dr,"Bldg 2, Unit E",Wasilla,,11/15/21,11/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,10021,Retail Marijuana Store,"Enlighten Alaska, LLC",,Active-Operating,2600 Spenard Road,,Anchorage,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10037,Retail Marijuana Store,"7107 Ventures, LLC",,Active-Operating,7107 Arctic Blvd,,Anchorage,,10/8/21,10/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10056,Retail Marijuana Store,"Red Run Cannabis Company, LLC",,Active-Operating,5455 Kenai Spur Highway,Suite B,Kenai,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,10057,Retail Marijuana Store,"Great White Bear, LLC",,Active-Operating,41945 Sterling Hwy,,Homer,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10060,Retail Marijuana Store,THE GREEN SPOT LLC.,,Active-Operating,2893 S. BIG LAKE RD. SUITE 4,,BIG LAKE,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,10094,Retail Marijuana Store,"Alaskabuds, LLC",,Active-Operating,1005 E 5th Ave,,Anchorage ,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10097,Retail Marijuana Store,"Raspberry Roots, LLC",,Active-Operating,501 Raspberry Rd,Suite 101,Anchorage,,9/21/21,9/21/21,8/31/23,,,,,,,,,,,,,,,,
AK,10113,Retail Marijuana Store,SP&C Enterprises LLC,,Active-Operating,1905 Livengood Ave.,,Fairbanks,,1/11/22,1/11/22,8/31/23,,,,,,,,,,,,,,,,
AK,10131,Retail Marijuana Store,"Pakalolo Supply Company, Inc.",,Active-Operating,1851 Fox Avenue,,Fairbanks,,11/8/21,11/8/21,8/31/23,,,,,,,,,,,,,,,,
AK,10138,Retail Marijuana Store,"Northern Lights Indoor Gardens, LLC",,Active-Operating,1321 Sawmill Creek Road,"Suites N, O, and P",Sitka,,9/17/21,9/17/21,8/31/23,,,,,,,,,,,,,,,,
AK,10149,Retail Marijuana Store,"Remedy Shoppe, LLC",,Active-Operating,371 THIRD AVENUE,,Skagway,,10/15/21,10/15/21,8/31/23,,,,,,,,,,,,,,,,
AK,10162,Retail Marijuana Store,"The Frost Farms, LLC",,Active-Operating,8535 Dimond D Circle,Unit B,Anchorage,,10/26/21,10/26/21,8/31/23,,,,,,,,,,,,,,,,
