Name,Number Reviews,Avg Rating,Descriptors,Phone Number,Licenses,Address,Url
Sunnyside Cannabis Dispensary - River North ,40 reviews,3.2,Dispensary | Order online | Recreational | Supports the Black community,(312) 481-7380,Adult-Use Retail: 284.000053-AUDO,"436 N Clark Street, Chicago, Illinois 60654",https://weedmaps.com/dispensaries/sunnyside-dispensary-river-north
Curaleaf Weed Street ,18 reviews,3.6,Dispensary | In-store purchases only | Recreational,(872) 249-0246,Adult-Use Retail: 284.000089-AUDO,"923 Weed Street, Chicago, Illinois 60642",https://weedmaps.com/dispensaries/windy-city-cannabis-weed-st
Curaleaf - Melrose Park ,54 reviews,4.9,Dispensary | Order online | Recreational,(872) 249-0809,Adult-Use Retail: 284.000091-AUDO,"1413 W. North Avenue, Melrose Park, Illinois 60160",https://weedmaps.com/dispensaries/greenhouse-melrose-park
Curaleaf - Skokie ,19 reviews,3.9,Dispensary | Order online | Recreational,(224) 707-9072,Adult-Use Retail: 284.000093-AUDO,"10000 Skokie Boulevard, Skokie, Illinois 60077",https://weedmaps.com/dispensaries/greenhouse-skokie
Curaleaf - Northbrook ,84 reviews,4.8,Dispensary | Order online | Recreational,(224) 269-4545,Adult-Use Retail: 284.000090-AUDO,"755 Skokie Blvd, Northbrook, Illinois 60062",https://weedmaps.com/dispensaries/greenhouse-northbrook
OKAY Cannabis Dispensary ,1 review,5.0,Dispensary | Order online | Recreational,(847) 305-4100,Adult-Use Retail: 284.000142-AUDO,"781 North Milwaukee Ave, Wheeling, Illinois 60090",https://weedmaps.com/dispensaries/okay-cannabis-dispensary-chicago
HATCH - Wheeling ,16 reviews,4.3,Dispensary | In-store purchases only | Recreational,(224) 434-2320,Adult-Use Retail: 284.000105-AUDO,"1500 E Lake Cook Rd, Wheeling, Illinois 60090",https://weedmaps.com/dispensaries/hatch-1
Zen Leaf West Loop ,17 reviews,3.8,Dispensary | Order online | Recreational,(872) 260-3874,Adult-Use Retail: 284.000107-AUDO,"222 S Halsted St., Chicago, Illinois 60661",https://weedmaps.com/dispensaries/zen-leaf-west-loop
Green Rose Dispensary ,0,,Dispensary | In-store purchases only | Recreational | Supports the Black community,(312) 268-0007,Adult-Use Retail: 284.000248-AUDO,"612 n wells, Chicago, Illinois 60654",https://weedmaps.com/dispensaries/green-rose-dispensary
Nature's Care West Loop ,7 reviews,4.7,Dispensary | In-store purchases only | Recreational | Supports the Black community,(872) 250-6520,Adult-Use Retail: 284.000064-AUDO,"810 W. Randolph Street, Chicago, Illinois 60607",https://weedmaps.com/dispensaries/nature-s-care-west-loop
Verilife - River North (Now Open!) ,25 reviews,3.0,Dispensary | In-store purchases only | Recreational,(312) 667-6247,Adult-Use Retail: AUDO.000099,"60 W Superior, Chicago, Illinois 60654",https://weedmaps.com/dispensaries/verilife-river-north
Zen Leaf Pilsen ,444 reviews,4.7,Dispensary | Order online | Medical & Recreational,(618) 900-0936,Medical Retail: 280.000051-DISP | Adult-Use Retail: 284.000031-AUDO,"1301 S Western Ave, Chicago, Illinois 60608",https://weedmaps.com/dispensaries/zen-leaf-pilsen
Sunnyside Cannabis Dispensary - Wrigleyville ,103 reviews,2.9,Dispensary | Order online | Recreational | Supports the Black community,(773) 820-7280,Adult-Use Retail: 284.000008,"3524 North Clark Street, Chicago, Illinois 60657",https://weedmaps.com/dispensaries/sunnyside-wrigleyville
