,Store Name,Number Reviews,Avg Rating,Phone Number,Licenses,Address,Medical_ID?,Adult-Use_ID?,Dispensary,In-store purchases only,Order online,Supports the Black community,State,Medical Store?,Recreational Store?
0,Sunnyside Cannabis Dispensary - River North ,40 reviews,3.2,(312) 481-7380,Adult-Use Retail: 284.000053-AUDO,"436 N Clark Street, Chicago, Illinois 60654",0.0,1.0,1,0,1,1,Illinois,False,True
1,Curaleaf Weed Street ,18 reviews,3.6,(872) 249-0246,Adult-Use Retail: 284.000089-AUDO,"923 Weed Street, Chicago, Illinois 60642",0.0,1.0,1,1,0,0,Illinois,False,True
2,Curaleaf - Melrose Park ,54 reviews,4.9,(872) 249-0809,Adult-Use Retail: 284.000091-AUDO,"1413 W. North Avenue, Melrose Park, Illinois 60160",0.0,1.0,1,0,1,0,Illinois,False,True
3,Curaleaf - Skokie ,19 reviews,3.9,(224) 707-9072,Adult-Use Retail: 284.000093-AUDO,"10000 Skokie Boulevard, Skokie, Illinois 60077",0.0,1.0,1,0,1,0,Illinois,False,True
4,Curaleaf - Northbrook ,84 reviews,4.8,(224) 269-4545,Adult-Use Retail: 284.000090-AUDO,"755 Skokie Blvd, Northbrook, Illinois 60062",0.0,1.0,1,0,1,0,Illinois,False,True
5,OKAY Cannabis Dispensary ,1 review,5.0,(847) 305-4100,Adult-Use Retail: 284.000142-AUDO,"781 North Milwaukee Ave, Wheeling, Illinois 60090",0.0,1.0,1,0,1,0,Illinois,False,True
6,HATCH - Wheeling ,16 reviews,4.3,(224) 434-2320,Adult-Use Retail: 284.000105-AUDO,"1500 E Lake Cook Rd, Wheeling, Illinois 60090",0.0,1.0,1,1,0,0,Illinois,False,True
7,Zen Leaf West Loop ,17 reviews,3.8,(872) 260-3874,Adult-Use Retail: 284.000107-AUDO,"222 S Halsted St., Chicago, Illinois 60661",0.0,1.0,1,0,1,0,Illinois,False,True
8,Green Rose Dispensary ,0,,(312) 268-0007,Adult-Use Retail: 284.000248-AUDO,"612 n wells, Chicago, Illinois 60654",0.0,1.0,1,1,0,1,Illinois,False,True
9,Nature's Care West Loop ,7 reviews,4.7,(872) 250-6520,Adult-Use Retail: 284.000064-AUDO,"810 W. Randolph Street, Chicago, Illinois 60607",0.0,1.0,1,1,0,1,Illinois,False,True
10,Verilife - River North (Now Open!) ,25 reviews,3.0,(312) 667-6247,Adult-Use Retail: AUDO.000099,"60 W Superior, Chicago, Illinois 60654",0.0,1.0,1,1,0,0,Illinois,False,True
